seed,ROI_i,ROI_j,mean_abs_shap,median_shap,std_shap,iqr_shap
29,ROI_45,ROI_45,0.0,0.0,0.0,0.0
29,ROI_45,ROI_46,0.0,0.0,0.0,0.0
29,ROI_45,ROI_47,0.0,0.0,0.0,0.0
29,ROI_45,ROI_48,0.0,0.0,0.0,0.0
29,ROI_46,ROI_19,0.0,0.0,0.0,0.0
29,ROI_46,ROI_20,0.0,0.0,0.0,0.0
29,ROI_46,ROI_21,0.0,0.0,0.0,0.0
29,ROI_47,ROI_3,0.0,0.0,0.0,0.0
29,ROI_46,ROI_52,0.0,0.0,0.0,0.0
29,ROI_46,ROI_53,0.0,0.0,0.0,0.0
29,ROI_46,ROI_54,0.0,0.0,0.0,0.0
29,ROI_46,ROI_56,0.0,0.0,0.0,0.0
29,ROI_46,ROI_57,0.0,0.0,0.0,0.0
29,ROI_46,ROI_58,0.0,0.0,0.0,0.0
29,ROI_46,ROI_59,0.0,0.0,0.0,0.0
29,ROI_46,ROI_60,0.0,0.0,0.0,0.0
29,ROI_46,ROI_61,0.0,0.0,0.0,0.0
29,ROI_46,ROI_62,0.0,0.0,0.0,0.0
29,ROI_47,ROI_1,0.0,0.0,0.0,0.0
29,ROI_47,ROI_2,0.0,0.0,0.0,0.0
29,ROI_47,ROI_4,0.0,0.0,0.0,0.0
29,ROI_46,ROI_22,0.0,0.0,0.0,0.0
29,ROI_47,ROI_5,0.0,0.0,0.0,0.0
29,ROI_47,ROI_6,0.0,0.0,0.0,0.0
29,ROI_47,ROI_7,0.0,0.0,0.0,0.0
29,ROI_47,ROI_8,0.0,0.0,0.0,0.0
29,ROI_47,ROI_9,0.0,0.0,0.0,0.0
29,ROI_47,ROI_10,0.0,0.0,0.0,0.0
29,ROI_47,ROI_11,0.0,0.0,0.0,0.0
29,ROI_47,ROI_12,0.0,0.0,0.0,0.0
29,ROI_47,ROI_13,0.0,0.0,0.0,0.0
29,ROI_47,ROI_14,0.0,0.0,0.0,0.0
29,ROI_47,ROI_15,0.0,0.0,0.0,0.0
29,ROI_47,ROI_16,0.0,0.0,0.0,0.0
29,ROI_46,ROI_51,0.0,0.0,0.0,0.0
29,ROI_46,ROI_50,0.0,0.0,0.0,0.0
29,ROI_46,ROI_49,0.0,0.0,0.0,0.0
29,ROI_46,ROI_48,0.0,0.0,0.0,0.0
29,ROI_46,ROI_23,0.0,0.0,0.0,0.0
29,ROI_46,ROI_24,0.0,0.0,0.0,0.0
29,ROI_46,ROI_25,0.0,0.0,0.0,0.0
29,ROI_46,ROI_26,0.0,0.0,0.0,0.0
29,ROI_46,ROI_27,0.0,0.0,0.0,0.0
29,ROI_46,ROI_28,0.0,0.0,0.0,0.0
29,ROI_46,ROI_29,0.0,0.0,0.0,0.0
29,ROI_46,ROI_30,0.0,0.0,0.0,0.0
29,ROI_46,ROI_31,0.0,0.0,0.0,0.0
